speaker,full_text,publishedAt,source
Jaishankar,S. Jaishankar addressed the UN General Assembly emphasizing Indias foreign policy priorities and strategic autonomy in a multipolar world.,2024-01-01,TheHindu
Jaishankar,External Affairs Minister Jaishankar said India believes in multi-alignment and engages with all major powers while protecting national sovereignty and interests.,2024-02-01,TheHindu
Jaishankar,Jaishankar spoke about the Indo-Pacific region requiring a rules-based order underpinned by freedom of navigation and overflight rights.,2024-03-01,TheHindu
Jaishankar,India ties with ASEAN Japan and Australia are critical to Indo-Pacific stability said Jaishankar at the Quad summit in Washington.,2024-04-01,TheHindu
Jaishankar,Economic diplomacy is central to Indias vision said Jaishankar discussing trade partnerships technology transfer and supply chain resilience.,2024-05-01,TheHindu
Jaishankar,Jaishankar emphasized that India relationship with neighbouring countries must be defined by mutual respect connectivity and shared prosperity.,2024-06-01,TheHindu
Jaishankar,India advocates connectivity people-to-people contact and economic integration across South Asia said External Affairs Minister Jaishankar.,2024-07-01,TheHindu
Jaishankar,Terrorism remains the gravest threat to global peace and India will not tolerate cross-border terrorism said Jaishankar at a security conference.,2024-08-01,TheHindu
Jaishankar,India expects the international community to hold perpetrators of terrorism accountable and deny them safe havens said Jaishankar.,2024-09-01,TheHindu
Jaishankar,Climate change requires collective global action said Jaishankar as India leads on renewable energy through the International Solar Alliance.,2024-01-01,TheHindu
Jaishankar,India commitment to solar energy and clean power is a demonstration of our seriousness about climate goals said Jaishankar.,2024-02-01,TheHindu
Jaishankar,The United Nations must reform to reflect 21st century realities said Jaishankar advocating for Indias permanent seat on Security Council.,2024-03-01,TheHindu
Jaishankar,India deserves a permanent seat on the UN Security Council representing the voice of the Global South said Jaishankar.,2024-04-01,TheHindu
Jaishankar,Diaspora diplomacy connects millions of Indians abroad with the motherland said Jaishankar addressing the Pravasi Bharatiya Divas convention.,2024-05-01,TheHindu
Jaishankar,Our vibrant diaspora is both a bridge and an ambassador for Brand India around the world said External Affairs Minister Jaishankar.,2024-06-01,TheHindu
Jaishankar,Digital connectivity and technology cooperation are the new frontier of diplomacy said Jaishankar at a tech summit.,2024-07-01,TheHindu
Jaishankar,Indias digital public infrastructure including UPI and Aadhaar is a model for developing nations said Jaishankar.,2024-08-01,TheHindu
Jaishankar,The Quad partnership between India US Australia and Japan is a force for regional stability said Jaishankar.,2024-09-01,TheHindu
Jaishankar,Jaishankar said India foreign policy under Prime Minister Modi has transformed bilateral relationships with strategic significance.,2024-01-01,TheHindu
Jaishankar,India engages with Russia China USA and Europe independently reflecting our strategic autonomy said Jaishankar at policy forum.,2024-02-01,TheHindu
Jaishankar,Jaishankar discussed bilateral trade investment and technology cooperation during his visit to the European Union headquarters.,2024-03-01,TheHindu
Jaishankar,India is a net security provider in the Indian Ocean region said Jaishankar highlighting maritime security cooperation.,2024-04-01,TheHindu
Jaishankar,The Shanghai Cooperation Organisation provides a platform for India to engage with Central Asian nations said Jaishankar.,2024-05-01,TheHindu
Jaishankar,India G20 presidency was a landmark achievement showcasing our global leadership said External Affairs Minister Jaishankar.,2024-06-01,TheHindu
Jaishankar,Jaishankar inaugurated the new Indian mission emphasizing the importance of consular services for the diaspora.,2024-07-01,TheHindu
Jaishankar,Supply chain diversification and reducing dependence on single sources is critical for economic security said Jaishankar.,2024-08-01,TheHindu
Jaishankar,India semiconductor industry and electronics manufacturing are priorities in our industrial policy said Jaishankar.,2024-09-01,TheHindu
Jaishankar,Jaishankar met with counterparts from BRICS nations discussing trade in local currencies and financial cooperation.,2024-01-01,TheHindu
Jaishankar,India infrastructure projects in the neighborhood including ports roads and power plants serve regional connectivity said Jaishankar.,2024-02-01,TheHindu
Jaishankar,People-to-people connections through culture education and tourism strengthen bilateral bonds said Jaishankar at cultural festival.,2024-03-01,TheHindu
Jaishankar,Jaishankar highlighted the importance of the India-Middle East-Europe Economic Corridor as a new trade route.,2024-04-01,TheHindu
Jaishankar,India relationship with Africa is a priority with increased investment development assistance and trade said Jaishankar.,2024-05-01,TheHindu
Jaishankar,The Voice of Global South Summit demonstrated India commitment to developing nations interests said Jaishankar.,2024-06-01,TheHindu
Jaishankar,Jaishankar said India seeks a reformed multilateralism that is more representative equitable and effective.,2024-07-01,TheHindu
Jaishankar,Technology governance including AI regulation and data sovereignty is a new area of diplomatic engagement said Jaishankar.,2024-08-01,TheHindu
Jaishankar,India defense partnerships have expanded significantly with major procurement and co-production agreements said Jaishankar.,2024-09-01,TheHindu
Jaishankar,Jaishankar stressed cybersecurity cooperation and protection of critical infrastructure in bilateral discussions.,2024-01-01,TheHindu
Jaishankar,India pharmaceutical industry serves as the pharmacy of the world and reflects our commitment to global health said Jaishankar.,2024-02-01,TheHindu
Jaishankar,The importance of reliable secure and resilient supply chains in critical sectors cannot be overstated said Jaishankar.,2024-03-01,TheHindu
Jaishankar,Jaishankar participated in the East Asia Summit highlighting India Act East Policy and maritime security priorities.,2024-04-01,TheHindu
Jaishankar,S. Jaishankar addressed the UN General Assembly emphasizing Indias foreign policy priorities and strategic autonomy in a multipolar world.,2024-05-01,TheHindu
Jaishankar,External Affairs Minister Jaishankar said India believes in multi-alignment and engages with all major powers while protecting national sovereignty and interests.,2024-06-01,TheHindu
Jaishankar,Jaishankar spoke about the Indo-Pacific region requiring a rules-based order underpinned by freedom of navigation and overflight rights.,2024-07-01,TheHindu
Jaishankar,India ties with ASEAN Japan and Australia are critical to Indo-Pacific stability said Jaishankar at the Quad summit in Washington.,2024-08-01,TheHindu
Jaishankar,Economic diplomacy is central to Indias vision said Jaishankar discussing trade partnerships technology transfer and supply chain resilience.,2024-09-01,TheHindu
Jaishankar,Jaishankar emphasized that India relationship with neighbouring countries must be defined by mutual respect connectivity and shared prosperity.,2024-01-01,TheHindu
Jaishankar,India advocates connectivity people-to-people contact and economic integration across South Asia said External Affairs Minister Jaishankar.,2024-02-01,TheHindu
Jaishankar,Terrorism remains the gravest threat to global peace and India will not tolerate cross-border terrorism said Jaishankar at a security conference.,2024-03-01,TheHindu
Jaishankar,India expects the international community to hold perpetrators of terrorism accountable and deny them safe havens said Jaishankar.,2024-04-01,TheHindu
Jaishankar,Climate change requires collective global action said Jaishankar as India leads on renewable energy through the International Solar Alliance.,2024-05-01,TheHindu
Jaishankar,India commitment to solar energy and clean power is a demonstration of our seriousness about climate goals said Jaishankar.,2024-06-01,TheHindu
Jaishankar,The United Nations must reform to reflect 21st century realities said Jaishankar advocating for Indias permanent seat on Security Council.,2024-07-01,TheHindu
Jaishankar,India deserves a permanent seat on the UN Security Council representing the voice of the Global South said Jaishankar.,2024-08-01,TheHindu
Jaishankar,Diaspora diplomacy connects millions of Indians abroad with the motherland said Jaishankar addressing the Pravasi Bharatiya Divas convention.,2024-09-01,TheHindu
Jaishankar,Our vibrant diaspora is both a bridge and an ambassador for Brand India around the world said External Affairs Minister Jaishankar.,2024-01-01,TheHindu
Jaishankar,Digital connectivity and technology cooperation are the new frontier of diplomacy said Jaishankar at a tech summit.,2024-02-01,TheHindu
Jaishankar,Indias digital public infrastructure including UPI and Aadhaar is a model for developing nations said Jaishankar.,2024-03-01,TheHindu
Jaishankar,The Quad partnership between India US Australia and Japan is a force for regional stability said Jaishankar.,2024-04-01,TheHindu
Jaishankar,Jaishankar said India foreign policy under Prime Minister Modi has transformed bilateral relationships with strategic significance.,2024-05-01,TheHindu
Jaishankar,India engages with Russia China USA and Europe independently reflecting our strategic autonomy said Jaishankar at policy forum.,2024-06-01,TheHindu
Jaishankar,Jaishankar discussed bilateral trade investment and technology cooperation during his visit to the European Union headquarters.,2024-07-01,TheHindu
Jaishankar,India is a net security provider in the Indian Ocean region said Jaishankar highlighting maritime security cooperation.,2024-08-01,TheHindu
Jaishankar,The Shanghai Cooperation Organisation provides a platform for India to engage with Central Asian nations said Jaishankar.,2024-09-01,TheHindu
Jaishankar,India G20 presidency was a landmark achievement showcasing our global leadership said External Affairs Minister Jaishankar.,2024-01-01,TheHindu
Jaishankar,Jaishankar inaugurated the new Indian mission emphasizing the importance of consular services for the diaspora.,2024-02-01,TheHindu
Jaishankar,Supply chain diversification and reducing dependence on single sources is critical for economic security said Jaishankar.,2024-03-01,TheHindu
Jaishankar,India semiconductor industry and electronics manufacturing are priorities in our industrial policy said Jaishankar.,2024-04-01,TheHindu
Jaishankar,Jaishankar met with counterparts from BRICS nations discussing trade in local currencies and financial cooperation.,2024-05-01,TheHindu
Jaishankar,India infrastructure projects in the neighborhood including ports roads and power plants serve regional connectivity said Jaishankar.,2024-06-01,TheHindu
Jaishankar,People-to-people connections through culture education and tourism strengthen bilateral bonds said Jaishankar at cultural festival.,2024-07-01,TheHindu
Jaishankar,Jaishankar highlighted the importance of the India-Middle East-Europe Economic Corridor as a new trade route.,2024-08-01,TheHindu
Jaishankar,India relationship with Africa is a priority with increased investment development assistance and trade said Jaishankar.,2024-09-01,TheHindu
Jaishankar,The Voice of Global South Summit demonstrated India commitment to developing nations interests said Jaishankar.,2024-01-01,TheHindu
Jaishankar,Jaishankar said India seeks a reformed multilateralism that is more representative equitable and effective.,2024-02-01,TheHindu
Jaishankar,Technology governance including AI regulation and data sovereignty is a new area of diplomatic engagement said Jaishankar.,2024-03-01,TheHindu
Jaishankar,India defense partnerships have expanded significantly with major procurement and co-production agreements said Jaishankar.,2024-04-01,TheHindu
Jaishankar,Jaishankar stressed cybersecurity cooperation and protection of critical infrastructure in bilateral discussions.,2024-05-01,TheHindu
Jaishankar,India pharmaceutical industry serves as the pharmacy of the world and reflects our commitment to global health said Jaishankar.,2024-06-01,TheHindu
Jaishankar,The importance of reliable secure and resilient supply chains in critical sectors cannot be overstated said Jaishankar.,2024-07-01,TheHindu
Jaishankar,Jaishankar participated in the East Asia Summit highlighting India Act East Policy and maritime security priorities.,2024-08-01,TheHindu
Jaishankar,S. Jaishankar addressed the UN General Assembly emphasizing Indias foreign policy priorities and strategic autonomy in a multipolar world.,2024-09-01,TheHindu
Jaishankar,External Affairs Minister Jaishankar said India believes in multi-alignment and engages with all major powers while protecting national sovereignty and interests.,2024-01-01,TheHindu
Jaishankar,Jaishankar spoke about the Indo-Pacific region requiring a rules-based order underpinned by freedom of navigation and overflight rights.,2024-02-01,TheHindu
Jaishankar,India ties with ASEAN Japan and Australia are critical to Indo-Pacific stability said Jaishankar at the Quad summit in Washington.,2024-03-01,TheHindu
Jaishankar,Economic diplomacy is central to Indias vision said Jaishankar discussing trade partnerships technology transfer and supply chain resilience.,2024-04-01,TheHindu
Jaishankar,Jaishankar emphasized that India relationship with neighbouring countries must be defined by mutual respect connectivity and shared prosperity.,2024-05-01,TheHindu
Jaishankar,India advocates connectivity people-to-people contact and economic integration across South Asia said External Affairs Minister Jaishankar.,2024-06-01,TheHindu
Jaishankar,Terrorism remains the gravest threat to global peace and India will not tolerate cross-border terrorism said Jaishankar at a security conference.,2024-07-01,TheHindu
Jaishankar,India expects the international community to hold perpetrators of terrorism accountable and deny them safe havens said Jaishankar.,2024-08-01,TheHindu
Jaishankar,Climate change requires collective global action said Jaishankar as India leads on renewable energy through the International Solar Alliance.,2024-09-01,TheHindu
Jaishankar,India commitment to solar energy and clean power is a demonstration of our seriousness about climate goals said Jaishankar.,2024-01-01,TheHindu
Jaishankar,The United Nations must reform to reflect 21st century realities said Jaishankar advocating for Indias permanent seat on Security Council.,2024-02-01,TheHindu
Jaishankar,India deserves a permanent seat on the UN Security Council representing the voice of the Global South said Jaishankar.,2024-03-01,TheHindu
Jaishankar,Diaspora diplomacy connects millions of Indians abroad with the motherland said Jaishankar addressing the Pravasi Bharatiya Divas convention.,2024-04-01,TheHindu
Jaishankar,Our vibrant diaspora is both a bridge and an ambassador for Brand India around the world said External Affairs Minister Jaishankar.,2024-05-01,TheHindu
Jaishankar,Digital connectivity and technology cooperation are the new frontier of diplomacy said Jaishankar at a tech summit.,2024-06-01,TheHindu
Jaishankar,Indias digital public infrastructure including UPI and Aadhaar is a model for developing nations said Jaishankar.,2024-07-01,TheHindu
Jaishankar,The Quad partnership between India US Australia and Japan is a force for regional stability said Jaishankar.,2024-08-01,TheHindu
Jaishankar,Jaishankar said India foreign policy under Prime Minister Modi has transformed bilateral relationships with strategic significance.,2024-09-01,TheHindu
Jaishankar,India engages with Russia China USA and Europe independently reflecting our strategic autonomy said Jaishankar at policy forum.,2024-01-01,TheHindu
Jaishankar,Jaishankar discussed bilateral trade investment and technology cooperation during his visit to the European Union headquarters.,2024-02-01,TheHindu
Jaishankar,India is a net security provider in the Indian Ocean region said Jaishankar highlighting maritime security cooperation.,2024-03-01,TheHindu
Jaishankar,The Shanghai Cooperation Organisation provides a platform for India to engage with Central Asian nations said Jaishankar.,2024-04-01,TheHindu
Jaishankar,India G20 presidency was a landmark achievement showcasing our global leadership said External Affairs Minister Jaishankar.,2024-05-01,TheHindu
Jaishankar,Jaishankar inaugurated the new Indian mission emphasizing the importance of consular services for the diaspora.,2024-06-01,TheHindu
Jaishankar,Supply chain diversification and reducing dependence on single sources is critical for economic security said Jaishankar.,2024-07-01,TheHindu
Jaishankar,India semiconductor industry and electronics manufacturing are priorities in our industrial policy said Jaishankar.,2024-08-01,TheHindu
Jaishankar,Jaishankar met with counterparts from BRICS nations discussing trade in local currencies and financial cooperation.,2024-09-01,TheHindu
Jaishankar,India infrastructure projects in the neighborhood including ports roads and power plants serve regional connectivity said Jaishankar.,2024-01-01,TheHindu
Jaishankar,People-to-people connections through culture education and tourism strengthen bilateral bonds said Jaishankar at cultural festival.,2024-02-01,TheHindu
Jaishankar,Jaishankar highlighted the importance of the India-Middle East-Europe Economic Corridor as a new trade route.,2024-03-01,TheHindu
Jaishankar,India relationship with Africa is a priority with increased investment development assistance and trade said Jaishankar.,2024-04-01,TheHindu
Jaishankar,The Voice of Global South Summit demonstrated India commitment to developing nations interests said Jaishankar.,2024-05-01,TheHindu
Jaishankar,Jaishankar said India seeks a reformed multilateralism that is more representative equitable and effective.,2024-06-01,TheHindu
Jaishankar,Technology governance including AI regulation and data sovereignty is a new area of diplomatic engagement said Jaishankar.,2024-07-01,TheHindu
Jaishankar,India defense partnerships have expanded significantly with major procurement and co-production agreements said Jaishankar.,2024-08-01,TheHindu
